Order ID,Customer Name,Email,Phone,Address,City,State,Zip Code,Country,Product,Category,Quantity,Price per Unit,Total Price,Order Date
ORD-100001,Jennifer Wells,jessica39@douglas.com,+1-220-324-4787x775,4948 Lucero Lodge Apt. 953,North Chadfort,Kansas,9134,Spain,Lipstick,Beauty,5,319.45 USD,"1,597.25 USD",2025-03-09
ORD-100002,Abigail Copeland,cnguyen@torres-warner.net,414-008-8298,995 Fisher Villages,North Emma,Nebraska,46891,South Georgia and the South Sandwich Islands,Vacuum Cleaner,Home,2,439.53 USD,879.06 USD,2025-04-03
ORD-100003,Victoria Callahan,dfisher@peterson.com,(413)224-4431,9030 Rodriguez Hill Suite 954,Amyborough,New Hampshire,49529,Reunion,Vacuum Cleaner,Home,3,233.98 USD,701.94 USD,2025-03-15
ORD-100004,Dave Hill,ashley88@hotmail.com,(625)733-6660x54962,96559 Kathryn Bridge Suite 206,New Joanberg,Michigan,87641,United States of America,Jacket,Clothing,1,32.49 USD,32.49 USD,2025-02-17
ORD-100005,Christopher Stewart,katherine61@hotmail.com,(698)500-3097,48043 Ritter Glen,Davidland,Wyoming,78356,South Georgia and the South Sandwich Islands,Comics,Books,3,489.69 USD,"1,469.07 USD",2025-01-06
ORD-100006,Nicholas Giles,brogers@mckee-jordan.info,4318919316,644 Black Path,New Hannah,Missouri,13055,Jersey,Microwave,Home,1,34.45 USD,34.45 USD,2025-03-14
ORD-100007,Deborah Ellis,vegachristopher@smith-moreno.info,771-281-8664,69230 Le Run,Bowersville,South Carolina,5513,Turks and Caicos Islands,Biography,Books,2,436.75 USD,873.50 USD,2025-03-16
ORD-100008,Krystal Rodriguez,ysmith@bernard.info,350.798.7877x350,376 Louis Passage,South Susan,Tennessee,45071,Gabon,Microwave,Home,2,33.26 USD,66.52 USD,2025-01-19
ORD-100009,Brandy Powell,andrea69@gmail.com,309.703.6985x2451,4766 Stephens Hills,Lake Haileychester,North Carolina,2110,India,T-shirt,Clothing,1,386.58 USD,386.58 USD,2025-01-29
ORD-100010,Rebecca Harris,ijohnston@yahoo.com,001-300-307-4871x2798,107 Gregory Locks,Lambmouth,Tennessee,73891,Oman,Face Cream,Beauty,2,112.03 USD,224.06 USD,2025-02-14
ORD-100011,Nicole Sampson,caitlyn27@ellis-moran.com,001-349-367-9494x26793,194 Brian Prairie Suite 422,New Karenstad,Idaho,61831,Netherlands Antilles,Non-fiction,Books,3,362.67 USD,"1,088.01 USD",2025-02-12
ORD-100012,Sherry Daniels,millerkenneth@kelley.com,871.512.7189x386,7196 Garcia Ways,Rossfort,Hawaii,79800,Cote d'Ivoire,Blender,Home,4,480.97 USD,"1,923.88 USD",2025-03-09
ORD-100013,Tiffany Mcintyre,kayla95@vasquez-hall.biz,815-881-3615x775,40556 Zuniga Branch,Gonzalezstad,Kansas,55433,India,Perfume,Beauty,1,116.39 USD,116.39 USD,2025-02-23
ORD-100014,Matthew Morris,cheyenne40@neal.com,001-345-027-7204x18985,7402 Mark Village,Johnsonmouth,Nebraska,49359,Argentina,Air Purifier,Home,4,222.83 USD,891.32 USD,2025-04-22
ORD-100015,Christopher Williams,umyers@carroll-huffman.com,(667)998-3989x988,10507 Sharon Circles Suite 587,East Jenniferfort,Mississippi,28650,Japan,Headphones,Electronics,5,460.80 USD,"2,304.00 USD",2025-04-27
ORD-100016,Jeff Rice,martindana@hotmail.com,899.580.5579,388 Tiffany Parkway Apt. 651,New Lori,North Dakota,3818,Solomon Islands,Headphones,Electronics,2,336.66 USD,673.32 USD,2025-05-12
ORD-100017,Maria Parker,lisasalazar@yahoo.com,7155792589,485 Kristopher Corners,Danielhaven,Delaware,73824,Thailand,Blender,Home,2,312.31 USD,624.62 USD,2025-01-13
